parcel_id,owner_name,area,ward,latitude,longitude
MH-KPG-2001,Sunita DESHMUKH,4782,8,19.881649,74.473667
MH-KPG-2002,Pooja Pawar,3166,4,19.881685,74.474575
MH-KPG-2003,Sanjay Pawar,3676,12,19.881469,74.475146
MH-KPG-2004,Yogesh Kulkarni,2798,1,19.881635,74.475975
MH-KPG-2005,Rajesh PAWAR,904,4,19.881624,74.476682
MH-KPG-2006,Kavita Bhosale,1182,6,19.881695,74.477562
MH-KPG-2007,M. Jadhav,1912,6,19.881633,74.478265
MH-KPG-2009,Vijay Nikam,4170,2,19.881655,74.479673
MH-KPG-2010,Swati Gaikwad,3952,3,19.881765,74.480536
MH-KPG-2011,Meena Kulkarni,4237,2,19.88161,74.481196
MH-KPG-2012,Rajesh Kadam,3368,7,19.881723,74.481988
MH-KPG-2013,,3046,5,19.881591,74.482722
MH-KPG-2014,Ramesh B.,3425,7,19.881668,74.483529
MH-KPG-2015,Kavita Kharat,2456,8,19.881658,74.484284
MH-KPG-2016,Seema Kadam,3497,9,19.882453,74.473494
MH-KPG-2018,Ashok Jadhav,3853,8,19.882424,74.47534
MH-KPG-2019,Ganesh Thorat,3274,8,19.882366,74.475933
MH-KPG-2020,Amit Deshmukh,1079,8,19.882309,74.476802
MH-KPG-2021,Sunita Bhosale,3713,8,19.882434,74.477543
MH-KPG-2022,Sanjay Sable,2298,4,19.882322,74.478269
MH-KPG-2023,Priya More,3787,3,19.882384,74.479017
MH-KPG-2024,Dinesh Wagh,2981,10,19.882445,74.479768
MH-KPG-2025,Suresh Shinde,4330,5,19.882429,74.480505
MH-KPG-2026,Suresh Thorat,2186,7,19.882398,74.481301
MH-KPG-2027,Sunita Shinde,4534,3,19.882258,74.481974
MH-KPG-2028,Sanjay Nikam,4185,6,19.882337,74.482699
MH-KPG-2029,Yogesh More,2157,7,19.882353,74.48362
MH-KPG-2030,Dinesh Lokhande,2756,8,19.882306,74.484327
MH-KPG-2031,Ganesh Kharat,2948,7,19.88299,74.473723
MH-KPG-2032,Rahul Maali,3886,5,19.88305,74.474291
MH-KPG-2033,Rajesh Salunkhe,3572,12,19.883182,74.475313
MH-KPG-2034,Rekha Salunkhe,4215,7,19.883097,74.475963
MH-KPG-2035,Dinesh Nikam,2310,10,19.883194,74.476735
MH-KPG-2036,Yogesh Mali,2843,9,19.883273,74.477706
MH-KPG-2037,Anita Shinde,2551,7,19.883051,74.47829
MH-KPG-2038,S. Wagh,4442,11,19.883136,74.479055
MH-KPG-2039,Ganesh Joshi,2054,2,19.883091,74.479763
MH-KPG-2040,Deepak Mali,3161,12,19.883175,74.480475
MH-KPG-2041,Amit Mali,1324,11,19.883162,74.481197
MH-KPG-2042,Ramesh Gaikwad,4206,7,19.883096,74.481969
MH-KPG-2043,Vishal Kadam,2367,9,19.883005,74.483071
MH-KPG-2044,Yogesh Salunkhe,2195,7,19.883087,74.483501
MH-KPG-2045,Priya Salunkhe,3167,4,19.883163,74.484286
MH-KPG-2046,Sanjay Gaikwad,2327,10,19.883928,74.473742
MH-KPG-2047,Mahesh Mali,4201,3,19.883841,74.474494
MH-KPG-2048,Deepak Nikam,2949,4,19.88374,74.475134
MH-KPG-2049,Swati M.,2892,7,19.883769,74.47592
MH-KPG-2050,Sachin MORE,1264,11,19.883907,74.476678
MH-KPG-2051,Yogesh Shinde,884,5,19.883845,74.477604
MH-KPG-2052,Yogesh Chavan,2424,6,19.883846,74.478309
MH-KPG-2053,Yogesh Sable,4792,1,19.8838,74.478984
MH-KPG-2056,Sachin Pawar,3341,1,19.884047,74.481222
